Wall time,Step,Value
1662553790.1335611,1432,4.4614611397264525e-05
1662553790.4494145,1433,4.2746967665152624e-05
1662553791.0873797,1435,3.3180502214236185e-05
1662553791.9977386,1438,3.8490212318720296e-05
1662553792.607592,1440,3.279096199548803e-05
1662553793.1312222,1441,3.445989204919897e-05
1662553795.8845189,1449,3.332557389512658e-05
1662553796.69143,1451,3.270621891715564e-05
1662553797.8306274,1455,3.2361411285819486e-05
1662553801.4100022,1464,3.253696922911331e-05
1662553801.7064104,1465,3.226987973903306e-05
1662553802.9569838,1468,3.222894520149566e-05
1662553804.4304116,1472,3.196432226104662e-05
1662553806.2199113,1477,3.19189130095765e-05
1662553812.9132833,1492,3.1671741453465074e-05
1662553813.9329937,1494,3.165783709846437e-05
1662553814.4528828,1495,3.1637366191716865e-05
1662553814.9436083,1496,3.161246786476113e-05
1662553817.542891,1501,3.154650767100975e-05
1662553818.6465774,1503,3.151140845147893e-05
1662553819.6278558,1505,3.147861934849061e-05
1662553821.174411,1508,3.1443527404917404e-05
1662553822.9063008,1511,3.1398245482705534e-05
1662553825.0255892,1515,3.1344341550720856e-05
1662553827.349955,1519,3.1290215702028945e-05
1662553827.92417,1520,3.1276304071070626e-05
1662553828.5054677,1521,3.126297451672144e-05
1662553829.6092527,1523,3.1238327210303396e-05
1662553831.1979427,1526,3.1205541745293885e-05
1662553833.090444,1529,3.118528184131719e-05
1662553833.631472,1530,3.118652603006922e-05
1662553835.0871027,1535,3.1461164326174185e-05
1662553835.5650456,1536,3.167423710692674e-05
1662553835.8677652,1537,3.202890366083011e-05
1662553836.8313642,1540,3.525778811308555e-05
1662553837.1496694,1541,3.800370905082673e-05
1662553837.4985156,1542,4.2601273889886215e-05
1662553839.7540839,1549,0.00015731542953290045
1662553840.0510182,1550,0.00011934718349948525
1662553840.710023,1552,3.237326382077299e-05
1662553841.3374434,1554,7.655913213966414e-05
1662553843.1651683,1560,4.9129437684314325e-05
1662553844.9933276,1566,3.3847809390863404e-05
1662553845.890166,1569,3.2690622902009636e-05
1662553846.8359487,1572,3.718736843438819e-05
1662553848.4449072,1577,3.1882766052149236e-05
1662553848.7605321,1578,3.129203469143249e-05
1662553849.087015,1579,3.348405516589992e-05
1662553849.4069676,1580,3.373585786903277e-05
1662553850.0503275,1582,3.0953873647376895e-05
1662553850.8814645,1584,3.2773197744973004e-05
1662553851.1672115,1585,3.149225085508078e-05
1662553851.9911478,1587,3.150298653054051e-05
1662553852.3282218,1588,3.2044245017459616e-05
1662553852.65489,1589,3.136916348012164e-05
1662553853.5759883,1591,3.0961280572228134e-05
1662553854.196048,1593,3.1219904485624284e-05
1662553854.5158405,1594,3.0660023185191676e-05
1662553863.102505,1616,3.025941077794414e-05
1662553864.5655975,1619,3.0186785807018168e-05
1662553864.8772635,1620,3.019065479747951e-05
1662553866.329806,1623,3.0092367524048313e-05
1662553868.5169623,1628,3.001944969582837e-05
1662553869.5230734,1630,3.0010576665517874e-05
1662553870.1636817,1631,2.9991088013048284e-05
1662553870.639091,1632,2.996574403368868e-05
1662553872.8836894,1636,2.991738983837422e-05
1662553874.4890363,1639,2.9868304409319535e-05
1662553875.0336637,1640,2.985934588650707e-05
1662553876.099626,1642,2.9832539439667016e-05
1662553877.3924787,1644,2.9805887606926262e-05
1662553880.4858453,1650,2.976032192236744e-05
1662553880.9862175,1651,2.975792267534416e-05
1662553882.5268238,1654,2.9752569389529526e-05
1662553883.0046706,1655,2.9751618058071472e-05
1662553883.9981365,1657,2.9752924092463218e-05
1662553884.8586106,1659,2.9750348403467797e-05
1662553885.3499587,1660,2.9749791792710312e-05
1662553886.75815,1664,2.9757145966868848e-05
1662553887.041657,1665,2.9762924896203913e-05
1662553888.7575088,1671,2.9903050744906068e-05
1662553889.3710897,1673,3.0040506317163818e-05
1662553891.7175748,1681,3.25110049743671e-05
1662553892.0014107,1682,3.32967028953135e-05
1662553892.2984655,1683,3.4268108720425516e-05
